"Address","Used","Since","LastUsed"
"DK-Tonder-ConceptLab@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-Quality-Matspec@ecco.com","2","8/5/2015","8/5/2015"
"THPersonnel.Thai@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-ITSAPProg@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-Brand&ProductsSupport@ecco.com","2","8/5/2015","8/5/2015"
"THRMWarehouse.Thai@ecco.com","78","8/5/2015","8/5/2015"
"TH.AlluserEccoThailand@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-TSAPMM@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-GenPlanning@ecco.com","2","8/5/2015","8/5/2015"
"TH-Ayutthaya-Factory-PlanningandMRP@ecco.com","41","8/5/2015","8/5/2015"
